,0
414371,0
1775688,0
217510,0
182269,0
2269381,0
2036017,0
2712688,0
655352,0
46913,0
1827478,0
1911566,0
1082930,0
623276,0
1121251,0
643217,0
150830,0
227873,0
991903,0
258255,0
152161,0
1406135,0
34016,0
1904377,0
580880,0
433838,0
261933,0
2027874,0
1926253,0
1920508,0
1775716,0
1572860,0
2610842,0
166953,0
81894,0
1145345,0
407,0
2026349,0
186650,0
690086,0
1654719,0
28209,0
1017183,0
85413,0
133,0
425,0
168658,0
120652,0
532,0
1143004,0
1156568,0
2723776,0
1643958,0
1502180,0
2717339,0
1632780,0
204476,0
374,0
1073,0
1395974,0
911,0
1033,0
556257,0
1734920,0
29407,0
1649510,0
45402,0
6,0
279,0
99,0
152053,0
204473,0
59282,0
444599,0
61653,0
1364858,0
747074,0
1358438,0
81,0
119044,0
1484898,0
1485594,0
1068,0
204474,0
2650923,0
169055,0
444432,0
1495041,0
987053,0
256616,0
1742977,0
2175151,0
1541445,0
1742974,0
75,0
20,0
41275,0
76890,0
85,0
453849,0
1123044,0
2723,0
2768684,0
2052989,0
1678397,0
153232,0
1649466,0
1433402,0
240236,0
74317,0
2004661,0
1712422,0
1246884,0
1167830,0
574559,0
437506,0
2174441,0
1519373,0
208215,0
1795639,0
1241326,0
1041,0
361177,0
2800684,0
2800680,0
2800683,0
1855416,0
2800686,0
2800685,0
2792075,0
2800682,0
2800678,0
2676755,0
2800679,0
2827482,0
165696,0
1295327,0
2709686,0
2709685,0
150203,0
165697,0
165695,0
1649487,0
2676858,0
13687,0
1649486,0
541,0
1234545,0
1227948,0
2823232,0
2685927,0
1960290,0
335405,0
1508451,0
362865,0
56358,0
1763827,0
288021,0
1434000,0
2066486,0
85273,0
1602338,0
510690,0
1314700,0
2493629,0
1231242,0
204446,0
489140,0
2066435,0
171436,0
191,0
1543704,0
2678887,0
34023,0
2478349,0
1543705,0
204447,0
171673,0
1914229,0
93,0
1091044,0
1146845,0
2705399,1
390876,0
1263978,0
526215,0
659693,0
454159,0
2752546,0
643951,0
1848396,0
1321364,0
1121829,0
2661936,1
85274,0
1434015,0
1647175,0
2605940,0
85265,0
13134,0
382513,0
2748926,0
69959,0
1612157,0
1081,0
83400,0
1804663,0
660514,0
660628,0
414051,0
168934,1
196080,0
1313115,0
1866954,0
1182780,0
111830,0
441,0
1649499,0
1223423,0
1654741,0
231052,0
2791118,0
91914,0
209260,0
153497,0
320496,0
34000,0
444052,0
442968,0
434,0
1434011,0
89583,0
1079922,0
1649268,0
1070,0
50714,0
504465,0
364409,0
50709,0
522,0
512381,0
2603324,0
368783,0
35812,0
268408,0
125216,0
1223303,0
365532,0
2044848,0
77674,0
1820341,0
2041181,0
457933,0
1755817,0
445219,0
213485,0
1777753,0
84646,0
1521255,0
2100211,0
2100210,0
1509243,0
767891,0
198251,0
2045213,0
191028,0
1649279,0
302485,0
1541822,0
2738399,0
97050,0
1604279,0
1931200,0
2603319,0
1649481,0
1511750,0
2821517,0
481178,0
1541818,0
1608457,0
60136,0
2433,1
1648492,0
299261,0
2603325,0
1195766,0
2211639,0
74030,0
659427,0
1398404,0
573139,0
2211635,0
2055850,0
1914026,0
1434014,0
490828,0
335927,0
1679449,0
58842,0
74032,0
1434019,0
1817584,0
1434029,0
599653,0
983507,0
2823226,0
608658,0
263377,0
93682,0
436357,0
659428,0
2846763,0
1608404,0
1068904,0
367771,0
1158296,0
393277,0
2211641,0
2211636,0
245186,0
2211638,0
1813601,0
653686,0
2211637,0
1759396,0
53945,0
2679899,0
1686374,0
252301,0
1284657,0
947567,0
282198,0
875170,0
1042323,0
1774278,0
50056,0
1579315,0
311411,0
404235,0
1658781,0
34008,0
1433986,0
336277,0
2680018,0
1775424,0
188905,0
266808,0
309512,0
315422,0
1258570,0
2047745,0
1400062,0
1648497,0
1955420,0
2661844,0
2201383,0
1855413,0
599652,0
2813041,0
2846749,0
2047740,0
1400059,0
295418,0
92944,0
1434008,0
265,0
1060,0
1470577,0
285107,0
1775705,0
205889,0
1443919,0
2663134,0
2250589,0
2818469,0
2804673,0
1434002,0
1653176,0
2820419,0
238783,0
204456,0
366614,0
2676790,0
2661806,0
121820,0
1400060,0
1209946,0
1097465,0
2680019,0
2846747,0
1617805,0
2029873,0
1844015,0
2028104,0
356797,0
89523,0
663242,0
1233054,0
2683599,0
56999,0
1844498,0
528,0
234,0
1649292,0
999488,0
354349,0
28100,0
1759400,0
773,0
1902578,0
34019,0
953,0
943,0
467749,0
768,0
33993,0
1442082,0
1891672,1
2491977,0
411566,0
1802983,0
780,0
69474,0
1930933,0
2601645,0
2115980,0
1699066,0
2601574,0
2601651,0
2603321,0
44747,0
1274401,0
2614439,0
162171,0
1472292,0
39643,0
50,0
224459,0
1649470,0
55,0
1524217,0
1882917,0
1055688,0
162027,0
215802,0
191767,1
53,0
32,0
83461,0
40,0
224455,0
42,0
44,0
47,0
1945896,0
1470623,0
1524214,0
161492,0
2653226,0
1779136,0
2766927,0
1652133,0
146784,0
958,0
2862745,0
1553903,0
1769746,0
2024975,0
2698753,0
2035811,0
2910985,0
2794998,0
2910983,0
2582836,1
2582840,0
700595,0
1433996,0
2910986,0
2910984,0
2773294,0
2905136,0
872,1
1981028,0
35832,0
41707,0
1912771,0
2909705,0
2910978,0
66848,0
488937,0
53244,0
206664,0
898,0
1634037,0
339721,0
224474,0
45662,0
40413,0
109168,1
429014,0
1654934,0
53318,0
51194,0
893,0
1859129,0
1859128,0
427922,0
1740,0
444090,0
1522431,0
241192,0
2033601,0
1433998,0
1840207,0
115780,0
53328,0
2289,0
28222,1
1246635,0
497721,0
48001,0
153027,0
377149,0
2904716,0
2299,0
1303912,0
45654,0
896,0
497742,0
1141978,0
218207,1
1549126,0
29526,0
39840,0
35836,1
1148150,0
361106,0
88358,1
60892,0
1705729,0
453229,1
1535192,0
1775574,0
1902583,0
2357,0
182623,0
43773,1
2651583,0
2910589,0
28231,3
115782,0
2812025,0
37817,0
57039,0
271087,0
890,0
213223,0
392332,0
1125862,0
2758103,0
2093225,0
28261,2
40118,0
1170227,0
1940407,0
1940406,0
35800,1
93171,0
1768185,0
1775468,0
33973,0
1000999,0
2608728,0
388463,0
1078860,0
392733,0
2136116,0
658061,0
332162,0
2136118,0
911113,0
1562565,1
458032,0
2004797,0
2508983,0
1432324,0
1434048,0
44675,0
35838,0
194,2
57665,1
2321111,0
2321187,0
2321115,0
2321114,0
28196,0
265570,0
269260,0
223785,1
269258,0
202746,0
286130,0
936,0
209,5
843,1
191291,0
267989,0
191301,0
84404,0
33001,0
75905,0
939,0
2713,0
246263,0
168657,0
182899,0
133269,0
212790,0
171868,0
223787,0
1079057,0
64159,0
117999,1
1649493,0
46200,0
545865,0
2351,0
53572,0
