accession,ncbi_taxid
RS_GCF_012033695.1,2722792
RS_GCF_013522925.1,256466
RS_GCF_000826105.1,522492
RS_GCF_003097135.1,1261628
RS_GCF_900573885.1,33069
RS_GCF_900582625.1,33069
RS_GCF_003050835.1,2135754
RS_GCF_003208235.1,2135592
RS_GCF_003596405.1,2320866
RS_GCF_005502935.1,2502191
GB_GCA_001830395.1,1802009
GB_GCA_002840155.1,2013795
RS_GCF_900105355.1,53406
RS_GCF_900099645.1,592361
RS_GCF_004920405.1,2448482
RS_GCF_900113745.1,425504
GB_GCA_001465025.1,1752219
GB_GCA_013823775.1,306
RS_GCF_003060885.1,2056866
RS_GCF_001446935.1,1729724
RS_GCF_009763245.1,2654845
RS_GCF_900110925.1,543360
GB_GCA_002354655.1,1947311
RS_GCF_002025205.1,1930532
RS_GCF_013184545.1,2715755
RS_GCF_900115555.1,289003
RS_GCF_000498575.2,1395571
RS_GCF_007993865.1,2572887
RS_GCF_002163625.1,1981174
RS_GCF_900188155.1,298908
RS_GCF_900116605.1,437900
RS_GCF_900100495.1,556533
RS_GCF_000213805.1,743720
RS_GCF_900112645.1,47882
RS_GCF_001945395.1,1932111
RS_GCF_001945445.1,1932112
RS_GCF_001839655.1,289370
RS_GCF_900113905.1,289370
RS_GCF_003253735.1,1261623
RS_GCF_900142655.1,1220495
RS_GCF_900102335.1,640205
RS_GCF_013408425.1,29435
RS_GCF_900100535.1,29435
RS_GCF_004327285.1,2487519
RS_GCF_004327355.1,2487520
RS_GCF_900105995.1,364197
RS_GCF_000364625.1,1123021
RS_GCF_904061905.1,2762745
RS_GCF_003595175.1,2320867
RS_GCF_900115475.1,658457
RS_GCF_902506495.1,2653165
RS_GCF_900101755.1,101564
RS_GCF_001941865.1,741155
RS_GCF_900102635.1,489632
RS_GCF_900106015.1,1274359
RS_GCF_002803095.1,1852595
RS_GCF_900115695.1,554344
RS_GCF_002741105.1,1691904
RS_GCF_007049795.1,300
RS_GCF_002197815.1,1218129
RS_GCF_003052605.1,404407
RS_GCF_008041835.1,300
RS_GCF_000016565.1,399739
RS_GCF_900104265.1,1198456
RS_GCF_000418555.1,1336207
RS_GCF_009932725.1,2579922
GB_GCA_002439135.1,1947329
RS_GCF_004521985.1,2502979
RS_GCF_902506535.1,2653166
RS_GCF_900636545.1,300
RS_GCF_003008615.1,300
RS_GCF_014109765.1,2726956
RS_GCF_001567565.1,658457
RS_GCF_003696305.1,2482750
RS_GCF_000467105.1,1215092
RS_GCF_900156545.1,43263
RS_GCF_003205495.1,43263
RS_GCF_000761545.1,1523503
RS_GCF_005508865.1,2502240
GB_GCA_002483005.1,1947342
RS_GCF_001592875.1,1796033
RS_GCF_009799925.1,2650101
RS_GCF_902506505.1,2653163
RS_GCF_013200955.2,2731681
RS_GCF_014164785.1,2759165
RS_GCF_014174475.1,2759166
RS_GCF_014490745.1,43263
RS_GCF_002304225.1,1985301
RS_GCF_014207935.1,1793966
RS_GCF_002234375.1,1793966
RS_GCF_003052585.1,2161748
GB_GCA_002418465.1,1947323
RS_GCF_900106975.1,1007099
RS_GCF_007109405.1,2593654
RS_GCF_000949385.2,1608357
RS_GCF_008807375.1,2604832
RS_GCF_001708505.1,1856685
RS_GCF_003626975.1,1755504
RS_GCF_013393345.1,470150
RS_GCF_000412695.1,1245471
RS_GCF_000423545.1,1123020
RS_GCF_002355475.1,1149133
RS_GCF_000474255.1,1405803
RS_GCF_012767755.2,2725477
RS_GCF_900111835.1,319939
RS_GCF_002091635.1,1215103
RS_GCF_002286785.1,1958773
RS_GCF_000955805.1,1619948
RS_GCF_008807415.1,43306
GB_GCA_002796985.1,306
RS_GCF_014204515.1,915472
RS_GCF_005877905.1,2571105
RS_GCF_002091755.1,1215112
RS_GCF_000313755.1,1226994
GB_GCA_002452115.1,46680
RS_GCF_000349845.1,1294143
RS_GCF_009189165.1,2653853
RS_GCF_900103845.1,198616
RS_GCF_900112375.1,53408
RS_GCF_900187975.1,366289
RS_GCF_000689415.1,1301098
RS_GCF_900099785.1,428992
RS_GCF_000017205.1,381754
RS_GCF_001457615.1,287
RS_GCF_000730625.1,1215113
RS_GCF_014522265.1,237610
RS_GCF_001650425.1,47885
RS_GCF_001518815.1,47885
RS_GCF_007665395.1,237610
RS_GCF_001512295.1,1749078
RS_GCF_005250615.1,2571129
RS_GCF_006384975.1,237610
RS_GCF_002091675.1,1215106
GB_GCA_014646755.1,1825787
RS_GCF_007830155.1,459528
GB_GCA_014647635.1,1515666
RS_GCF_000235745.1,1109445
RS_GCF_900129835.1,1403346
RS_GCF_002890895.1,316
RS_GCF_004010935.1,2079806
GB_GCA_002387205.1,316
GB_GCA_002476945.1,316
RS_GCF_003696365.1,1176257
GB_GCA_002452485.1,316
GB_GCA_002339675.1,316
RS_GCF_002890875.1,316
RS_GCF_000590475.1,316
RS_GCF_000952685.1,316
GB_GCA_003527165.1,306
RS_GCF_009789555.1,316
RS_GCF_003325755.1,2267882
RS_GCF_013620795.1,1685699
RS_GCF_004331835.1,2547400
RS_GCF_000756775.1,1499686
GB_GCA_002345575.1,316
GB_GCA_002331645.1,316
RS_GCF_013522825.1,316
RS_GCF_003696285.1,2482751
RS_GCF_000495915.1,1263865
GB_GCA_002692525.1,306
GB_GCA_007713455.1,306
RS_GCF_000935215.1,316
RS_GCF_002929225.1,1211807
RS_GCF_003935375.1,271420
RS_GCF_900114065.1,1211807
GB_GCA_003488145.1,306
RS_GCF_013409135.1,1211807
RS_GCF_000341615.1,1212548
RS_GCF_002890795.1,316
RS_GCF_002909485.1,316
RS_GCF_002890835.1,316
RS_GCF_000661915.1,316
RS_GCF_000327065.1,644801
RS_GCF_003696315.1,1176259
RS_GCF_000307775.2,1218352
RS_GCF_000219605.1,316
RS_GCF_003205815.1,2213057
GB_GCA_002362915.1,316
RS_GCF_002890915.1,316
RS_GCF_000263395.1,477228
RS_GCF_005844005.1,316
RS_GCF_000818015.1,1123016
RS_GCF_004327335.1,2211392
RS_GCF_013395055.1,2748080
RS_GCF_005876855.1,1056496
RS_GCF_900766265.1,1914538
RS_GCF_013522725.1,291995
RS_GCF_000425625.1,1292027
RS_GCF_003640395.1,638269
RS_GCF_004339665.1,353
RS_GCF_900110885.1,170623
RS_GCF_009363155.1,69964
RS_GCF_000380335.1,1283330
GB_GCA_002417905.1,1952783
RS_GCF_014191985.1,69962
RS_GCF_007830255.1,116849
RS_GCF_004801855.1,1821274
RS_GCF_900104805.1,1392877
RS_GCF_900109175.1,915471
RS_GCF_900115715.1,1135990
RS_GCF_900105885.1,1245526
RS_GCF_000802425.1,706570
GB_GCA_001513025.1,1671662
RS_GCF_008807395.1,2604941
GB_GCA_012518175.1,1913989
GB_GCA_012728315.1,1913989
GB_GCA_012513235.1,1913989
GB_GCA_012800475.1,1913989
RS_GCF_000421765.1,521719
GB_GCA_012719655.1,1913989
RS_GCF_002866065.1,1501432
GB_GCA_012728415.1,1913989
GB_GCA_001513435.1,1676152
RS_GCF_001267175.1,1697053
RS_GCF_001580025.1,1680762
RS_GCF_003991975.1,2213226
RS_GCF_900109735.1,1429083
RS_GCF_008365385.1,2268758
RS_GCF_009497895.1,553151
RS_GCF_000410875.1,1323663
RS_GCF_008641105.1,1323744
GB_GCA_002840055.1,2013793
RS_GCF_008638305.1,1981513
RS_GCF_012844345.1,2726989
RS_GCF_008638345.1,2586906
GB_GCA_011050525.1,487184
RS_GCF_900104945.1,487184
GB_GCA_014646575.1,86175
RS_GCF_900115905.1,1002526
GB_GCA_012735335.1,1913989
RS_GCF_002979975.1,1848729
RS_GCF_014219065.1,157792
RS_GCF_000939975.1,1461581
RS_GCF_900114735.1,653930
RS_GCF_900105005.1,797277
GB_GCA_002296055.1,1952795
RS_GCF_900114765.1,254161
RS_GCF_003444685.1,857227
RS_GCF_002197985.1,857252
RS_GCF_002903165.1,1708783
RS_GCF_003797905.1,2487347
GB_GCA_011053055.1,472181
RS_GCF_900105255.1,472181
RS_GCF_003586265.1,2078689
RS_GCF_900114825.1,1720063
GB_GCA_007117785.1,306
GB_GCA_007692485.1,1914538
RS_GCF_900105655.1,1434072
RS_GCF_000710775.1,305900
GB_GCA_900299555.1,432652
RS_GCF_001647025.1,1333660
RS_GCF_002864045.1,1701104
RS_GCF_001646945.1,1698521
RS_GCF_000722635.1,1137799
RS_GCF_001562015.1,1633495
RS_GCF_004762125.1,1914300
RS_GCF_009653635.1,2072845
RS_GCF_001583435.1,570277
GB_GCA_002238585.1,1919249
RS_GCF_900174585.1,1960125
GB_GCA_002084115.1,1940822
RS_GCF_011009015.1,2683272
RS_GCF_013425485.1,2751884
RS_GCF_000428585.1,1123509
RS_GCF_003864255.1,2528527
GB_GCA_001593685.1,1813817
RS_GCF_000265245.1,339656
RS_GCF_007989465.1,29573
RS_GCF_004798905.1,2508710
RS_GCF_014192055.1,257772
RS_GCF_002549795.1,475662
RS_GCF_003966155.1,447425
RS_GCF_014192275.1,795312
RS_GCF_000196875.2,768066
RS_GCF_008274785.1,42566
RS_GCF_001662305.1,438744
RS_GCF_006540005.1,252
RS_GCF_001431725.1,1178482
RS_GCF_900142755.1,44933
RS_GCF_008329985.1,2562282
GB_GCA_002433675.1,42565
RS_GCF_003045775.1,2109328
RS_GCF_000425725.1,1121940
RS_GCF_014192215.1,447424
RS_GCF_003056305.1,370769
RS_GCF_009363755.1,2587844
RS_GCF_005780185.1,490901
RS_GCF_900116405.1,416872
RS_GCF_001886615.1,1897729
RS_GCF_900109725.1,650850
RS_GCF_902500215.1,2607506
RS_GCF_014192285.1,616675
RS_GCF_004361885.1,229007
RS_GCF_004363555.1,229007
RS_GCF_000620045.1,1121941
RS_GCF_004347715.1,2546095
RS_GCF_009902005.1,147248
RS_GCF_900104135.1,419597
GB_GCA_003553625.1,1486246
GB_GCA_003560175.1,1486246
GB_GCA_003552795.1,1486246
RS_GCF_003182195.1,2183985
RS_GCF_014193375.1,213554
RS_GCF_003028575.1,1684789
RS_GCF_002879645.1,1387883
RS_GCF_003202205.1,2044917
RS_GCF_900116705.1,463301
RS_GCF_000246875.1,590061
GB_GCA_011742915.1,52021
